Country\year,Non-OECD Economies,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,Yes,220240.77,230413.76,234122.38,239560.14,243598.69,244499.37,256463.93,258303.62,262725.06,264637.84,280308.99,276902.60,269315.64,286381.63,298167.36,307492.67,321462.03,335854.13,331802.17,322554.23,300695.19,310314.53,310670.24,321011.89,322554.61,..,..,..,..,..
Australia,No,423672.23,423733.06,427426.08,428337.07,428818.22,437276.55,443928.27,456015.98,469751.52,476391.99,487777.76,495604.31,499190.49,500599.96,517726.51,524211.49,528038.42,534417.84,537262.31,540381.62,535549.22,537205.50,539511.06,530311.91,524709.40,533063.83,542287.87,549330.02,549731.94,545152.52
Austria,No,78420.49,82082.33,75469.27,75709.19,75958.30,79237.98,82452.59,82116.23,81432.85,79898.37,80129.43,84064.72,85815.06,91306.72,90985.23,92147.29,89728.78,86983.94,86440.21,79779.07,84336.72,82127.03,79432.38,79817.17,76238.67,78462.23,79471.01,81862.50,78627.64,79842.25
Belarus,Yes,139151.99,130840.89,120140.78,106923.60,89779.89,83442.94,84297.36,85109.98,86361.89,80057.93,79717.08,79870.11,78363.79,80448.44,84704.15,86798.69,90642.09,90117.01,92953.37,88814.49,90694.80,90342.30,91370.71,92264.23,91040.70,85975.45,87745.02,88542.20,89064.61,90115.70
Belgium,No,145719.49,148439.22,148039.15,146897.39,151497.12,153616.79,157323.93,148852.50,154021.16,147789.33,148882.93,147324.61,147412.69,147713.45,148554.79,145561.70,142720.48,139071.66,138980.22,126325.02,133633.52,123134.28,120385.71,120443.49,114732.00,118959.98,117689.18,117424.30,117894.74,116651.49
Brazil,Yes,552640.82,574601.49,583848.35,596099.40,613905.50,638769.90,643708.82,668029.60,685872.35,702927.57,725162.14,744084.15,760963.10,778785.71,815887.21,830176.87,837355.38,843618.61,872592.78,858585.47,921055.10,954163.29,985944.61,1030985.67,1062897.04,1041676.99,1014702.38,..,..,..
Bulgaria,Yes,99978.08,81795.82,76218.38,75610.64,71519.55,72908.91,73249.27,70028.76,65922.19,58817.04,57864.27,60776.88,58130.23,62940.28,62109.50,62714.87,63377.10,67307.94,65996.59,57163.97,59796.37,65071.43,60087.12,54893.92,57987.87,61338.35,58800.91,61148.47,57281.77,55955.28
Canada,No,601523.69,595776.73,613598.52,616798.39,638000.47,656298.72,678714.49,691195.37,696901.52,709600.92,733511.34,722935.01,726555.18,744831.89,745919.78,738718.60,730101.94,751661.27,735692.85,693597.90,702802.75,714078.51,717172.39,725371.84,722557.67,723096.02,706933.91,716092.01,728475.89,730244.94
Chile,No,49209.47,47321.20,48984.82,51438.60,54532.77,57903.80,63845.69,71466.73,72442.96,75285.86,73001.38,71105.38,72364.80,73100.83,79173.64,80296.41,82822.36,91553.25,91393.91,88098.22,87942.08,96508.95,102424.84,102678.36,99268.13,106342.22,110156.04,111215.64,112312.62,..
China (People's Republic of),Yes,..,..,..,..,4057617.00,..,..,..,..,..,..,..,..,..,..,8015000.00,..,..,..,..,10543331.00,..,11895765.00,..,12300200.00,..,..,..,..,..
Colombia,No,94040.62,97252.60,102161.07,103813.59,105140.36,106659.23,109795.91,114194.85,113892.08,108652.18,110795.20,109488.75,109966.45,113929.09,117271.11,122238.97,130651.10,131880.49,130025.62,137137.33,138247.79,133918.32,139838.47,147802.85,150614.76,..,..,..,..,..
Costa Rica,No,8196.56,8056.64,8797.32,8892.50,9622.28,9693.60,9562.85,9272.53,9811.83,9951.70,9945.75,10292.00,10518.51,10892.97,10924.16,11196.01,11817.56,12678.70,12709.38,12534.57,12895.96,13284.87,13405.56,13735.74,13850.14,13603.64,14234.46,14477.60,..,..
Croatia,Yes,31387.29,24692.09,22771.97,22722.00,21818.72,22487.30,22994.82,24398.92,24509.48,25824.04,25563.46,26739.44,27793.26,29224.14,29263.64,29730.72,30081.35,31485.74,30506.12,28151.12,27752.97,27429.60,25612.64,24330.60,23475.54,23911.92,23999.92,24737.56,23536.28,23605.02
Cyprus,Yes,5571.03,6072.44,6521.87,6798.93,7049.13,6985.58,7335.59,7430.33,7764.27,8035.07,8308.59,8257.05,8485.66,8878.86,9078.74,9205.21,9460.79,9789.58,10006.34,9772.66,9444.39,9150.41,8617.65,7918.78,8294.18,8336.77,8783.93,8969.69,8811.43,8841.53
Czech Republic,No,197071.82,178844.05,172347.24,164722.20,157203.96,156329.52,159347.27,154763.38,148601.60,139029.96,149272.31,149299.90,145657.98,148734.47,149763.24,147727.54,148953.58,150776.59,145889.00,136853.38,139605.90,138068.89,134138.67,128691.89,126563.24,127972.21,129584.95,130460.08,128554.62,122638.51
Denmark,No,71097.66,81729.44,75740.17,77874.65,81785.96,78838.28,92007.52,82562.01,78535.83,76048.65,71748.15,73469.76,72887.12,77956.07,71987.69,67601.07,75303.40,70731.52,67137.44,64331.30,64664.11,59429.58,54837.68,56560.81,52332.15,49737.65,51764.36,49648.88,49621.30,45812.18
Estonia,No,41045.49,37099.98,27159.79,21714.30,22223.27,20273.77,21180.71,20759.07,19021.44,17850.09,17495.87,17933.88,17342.07,19284.11,19482.32,19257.08,18598.88,22206.85,20083.66,16661.56,21218.19,21286.17,20114.88,22019.84,21176.38,18139.32,19808.93,21066.44,20206.36,14699.12
European Union (28 countries),No,5657987.35,5554573.05,5385811.99,5285472.73,5249835.76,5294873.94,5408864.70,5312368.26,5271946.12,5166089.87,5155594.61,5206084.13,5172149.06,5260743.78,5262043.65,5226495.34,5215586.09,5164853.03,5046971.79,4675074.81,4779612.47,4626768.71,4568546.27,4471235.92,4293697.12,4325015.41,4302752.66,4317624.81,4223100.18,4057594.57
Finland,No,71075.01,68976.83,67537.17,69802.06,75330.90,71663.00,77655.59,76353.40,72656.18,72039.29,70162.59,75489.95,77917.81,85538.07,81850.13,69851.38,81228.18,79574.36,71465.37,67828.41,75621.63,67876.63,62402.31,62797.27,58659.76,55087.28,58007.00,55230.18,56281.82,53021.25
France,No,547127.83,573267.01,562724.82,541994.08,534183.17,540263.49,558535.54,551315.86,564794.56,558542.13,552419.16,557716.37,551773.94,556025.60,554919.88,555961.77,545436.42,535685.05,528370.73,506423.66,513461.78,488902.16,490286.17,491502.99,461188.53,464205.67,467060.00,470564.32,452034.46,442984.67
Germany,No,1248576.92,1202060.55,1152179.82,1142845.27,1124864.86,1120555.25,1138786.14,1103880.95,1078775.63,1044927.44,1042612.09,1058745.06,1037234.57,1034137.58,1017525.75,992529.52,999354.67,973768.63,974780.35,908688.45,941805.34,917273.60,923342.03,940419.54,901255.14,904261.81,907967.91,892075.67,855890.41,809798.54
Greece,No,103289.46,103344.25,104588.35,104188.43,106975.03,109310.88,112456.89,117357.20,122954.80,123112.81,126470.88,127524.66,127540.10,131279.63,131960.69,136423.69,132517.99,135149.01,131825.16,124619.09,118500.04,115571.73,112305.52,102684.38,99257.81,95463.98,91821.84,95600.99,92308.35,85630.94
Hungary,No,94786.97,88314.62,78141.77,79352.66,78422.09,77193.25,79547.54,78006.79,77397.32,77819.98,74916.73,76856.85,75137.62,78042.77,76960.89,76717.56,75506.65,73725.54,71584.01,65402.83,66056.58,64354.14,60957.51,58068.18,58407.72,61516.67,62258.59,64716.42,64735.40,64433.17
Iceland,No,3682.90,3466.17,3380.97,3466.10,3398.24,3513.11,3571.74,3739.40,3883.44,4105.32,4126.80,4018.74,4113.32,4073.43,4174.60,4022.91,4606.48,4901.10,5299.94,4966.28,4866.27,4647.06,4657.36,4654.39,4685.66,4763.99,4716.62,4795.42,4822.19,4722.35
India,Yes,..,..,..,..,1214248.00,..,..,..,..,..,1523766.56,..,..,..,..,..,..,..,..,..,2100849.73,..,..,..,..,..,2839424.95,..,..,..
Indonesia,Yes,266818.39,292610.40,306828.59,318657.49,334191.21,..,..,..,..,..,554333.48,537949.00,545911.00,559139.00,583101.00,590736.00,610242.00,607947.00,629710.00,628562.00,685711.00,726262.00,757250.00,796579.00,864948.00,907334.00,883224.00,..,..,..
Iran,Yes,..,..,..,..,385433.30,..,..,..,..,..,483669.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,No,54400.32,55210.27,55196.53,55739.95,57215.06,58740.88,60904.77,62361.15,64942.47,66202.87,68458.71,70487.21,68623.05,69032.77,68384.55,70264.34,69620.58,68591.57,68131.46,62356.37,61949.41,57793.58,58785.14,58570.58,58062.57,60431.95,62475.14,62114.86,62526.01,59777.64
Israel,No,..,..,..,..,..,..,57653.00,..,..,..,67163.00,..,..,69819.57,70143.55,70737.36,72085.30,75306.52,76683.37,72843.85,75694.83,77842.96,83789.44,78235.48,75994.77,79125.78,78984.71,77903.68,78583.90,..
Italy,No,518720.44,519790.53,518700.85,511619.71,505633.37,532004.11,526379.22,534061.59,546488.85,551759.95,555466.30,557199.40,563138.01,582409.71,587933.32,589071.61,578514.65,573010.14,560119.14,505218.99,516473.73,503645.26,484218.02,449178.94,427930.41,440436.70,437696.09,432713.74,428549.35,418280.60
Japan,No,1269015.30,1283386.64,1295604.15,1291284.87,1352190.75,1373757.63,1386211.81,1378930.08,1330542.77,1353959.95,1373754.87,1348108.69,1372028.55,1378772.44,1370202.43,1377912.87,1356610.44,1391882.93,1319257.64,1247100.64,1300451.71,1351251.66,1394043.99,1405888.61,1356588.54,1318516.70,1301855.89,1288528.72,1245020.89,1209493.35
Kazakhstan,Yes,385022.01,369854.70,343664.77,308227.87,261023.63,244275.60,226180.16,218834.89,215135.64,189021.64,219030.46,212958.38,235320.55,257075.16,263901.35,277740.39,295020.60,296551.53,291519.01,279646.42,303286.40,293268.93,296890.24,304663.39,331205.22,341342.71,342616.69,364180.03,375581.98,354869.62
Korea,No,292190.35,315459.80,343481.57,378674.17,403690.03,433892.37,470463.21,502115.45,431531.81,469518.96,502865.87,516143.48,538627.47,548987.64,557255.12,560923.34,567309.24,580751.92,593853.57,597982.54,656322.62,684929.54,688308.06,697383.69,691932.56,692514.57,693534.82,709749.97,727633.30,..
Latvia,No,25868.20,23972.13,19200.11,15782.96,13831.35,12447.95,12502.59,11948.96,11450.55,10674.14,10059.49,10646.48,10617.13,10791.90,10759.86,10934.36,11414.91,11863.26,11416.34,10730.92,11820.12,11029.89,10851.36,10763.41,10671.01,10724.86,10716.53,10757.14,11260.72,11132.14
Liechtenstein,Yes,228.51,236.06,236.27,243.40,229.77,233.59,235.90,248.47,259.43,256.43,247.05,246.62,252.95,263.07,263.29,263.69,267.28,238.09,257.85,243.11,228.16,215.33,224.50,230.72,199.70,198.05,187.52,193.03,180.69,187.11
Lithuania,No,47792.29,49786.07,30616.92,24550.93,23187.14,22201.60,23248.78,22815.56,23781.00,20968.07,19425.84,20228.95,20608.07,20776.24,21593.77,22700.12,22990.58,25170.92,24192.34,19902.23,20742.36,21338.66,21261.46,20024.00,19986.69,20283.04,20311.83,20518.88,20150.10,20367.85
Luxembourg,No,12727.38,13371.04,13134.73,13286.22,12458.13,10084.08,10148.60,9495.63,8614.78,9079.66,9658.18,10151.68,10928.76,11373.29,12765.15,13005.05,12836.67,12253.91,12141.35,11596.40,12176.42,12052.77,11807.44,11270.40,10807.26,10324.43,10082.90,10266.98,10565.23,10742.80
Malta,Yes,2595.50,2450.25,2519.74,3106.01,2889.41,2685.61,2809.37,2824.80,2790.41,2877.95,2813.23,2939.15,2990.68,3271.00,3161.12,2985.10,3040.33,3136.83,3076.79,2892.11,2968.46,2972.04,3181.48,2871.60,2905.19,2220.08,1902.48,2060.88,2041.17,2174.72
Mexico,No,444741.58,453231.87,455133.32,458498.73,482721.51,471385.13,493529.77,517909.70,543847.61,529229.90,544660.10,537610.98,557652.41,563298.30,574316.76,592587.22,616361.70,646665.30,691822.34,671577.38,669084.03,681190.36,673721.90,683120.59,686159.50,699564.27,..,..,..,..
Monaco,Yes,102.73,103.59,109.23,108.19,108.89,105.53,109.84,107.95,107.16,108.12,109.00,106.86,107.18,104.49,100.36,98.15,92.66,92.57,93.04,91.08,87.92,85.52,87.53,90.53,84.89,87.70,86.71,85.76,87.13,82.54
Netherlands,No,219604.10,227263.86,227948.36,228694.79,229571.52,229639.35,240424.69,232386.44,232779.11,219336.65,217577.76,218271.57,216093.44,216742.96,218288.46,212553.10,207510.09,205894.05,205315.85,199722.20,211675.15,197327.07,193081.48,193387.53,185617.27,192712.73,193101.02,190567.47,186318.55,180309.09
New Zealand,No,65129.23,66005.34,67153.49,66913.44,68135.38,68913.13,70973.41,73669.13,71569.28,73366.38,75397.63,78386.36,78563.49,80733.64,80548.79,82486.17,82518.41,80522.57,80605.45,77881.95,78316.41,78149.24,80446.28,79827.77,80674.00,80724.44,78678.36,80282.00,80578.31,82317.88
Norway,No,51475.11,49182.33,47494.57,49400.79,51279.68,51623.59,54614.66,54631.17,54779.97,55736.95,55117.39,56349.07,55222.38,55762.84,56151.19,55269.62,55238.38,56895.40,55442.36,53053.84,55265.59,54509.57,53998.11,53989.10,53863.14,54125.12,53095.07,52089.48,52211.46,50333.98
OECD - Europe,No,5588408.50,5567812.00,5421059.00,5339287.00,5312786.50,5366711.50,5500390.00,5424047.50,5406203.00,5322327.50,5339734.00,5367127.00,5336262.00,5432447.50,5447102.50,5434862.50,5442541.00,5422156.50,5306798.50,4970453.50,5086109.00,4944478.00,4916111.50,4828424.50,4664077.00,4705281.00,4713299.50,4745996.00,4652157.50,4473145.50
OECD - Total,No,15334326.00,15287954.00,15325970.00,15405158.00,15604412.00,15816124.00,16267465.00,16336803.00,16293092.00,16319353.00,16633311.00,16528745.00,16615889.00,16819554.00,16987020.00,17020120.00,16965696.00,17168686.00,16800396.00,15881486.00,16334138.00,16139834.00,15934533.00,16056972.00,15890790.00,15773213.00,15609506.00,15625826.00,15709380.00,15380665.00
OECD America,Yes,7638257.00,7573904.50,7713593.00,7843008.00,7981138.50,8077919.50,8337846.00,8442128.00,8521267.00,8559141.00,8786618.00,8655338.00,8722294.00,8808193.00,8944042.00,8968986.00,8916593.00,9083648.00,8885935.00,8374841.50,8601694.00,8465978.00,8232323.00,8436900.00,8496814.00,8363986.50,8200864.50,8174035.50,8375674.50,8264339.00
Peru,Yes,..,..,..,..,57582.87,..,..,..,..,..,63197.00,..,..,..,..,..,..,..,..,..,80591.02,..,84564.00,..,..,..,..,..,..,..
Poland,No,475862.93,463790.87,451015.94,450911.26,445289.05,447309.06,461109.53,451022.73,420681.52,409182.56,396594.91,395187.65,385455.07,399258.84,404900.89,405225.25,420408.33,420268.92,413750.43,394713.90,413501.55,412488.95,404975.67,401638.24,388929.07,390815.88,400421.28,414819.41,411852.17,390744.67
Portugal,No,58783.78,60689.04,64536.04,63027.64,63924.87,68588.14,66294.63,69473.47,74333.27,82400.44,81668.11,81199.88,85719.94,80429.33,83559.56,85704.34,80871.67,78593.01,76195.15,73008.70,68727.03,67319.09,65404.63,63542.23,63439.83,67586.67,65741.58,70790.72,67131.79,63469.98
Romania,Yes,247371.77,204385.17,189482.02,179379.26,176655.00,183855.96,186702.30,179616.66,163514.28,145552.03,138766.96,142383.73,143913.34,149600.07,147819.50,146944.76,148442.79,145429.71,140785.56,121699.30,116143.75,123862.20,121086.33,111881.72,112485.91,113193.87,110762.21,114245.64,115090.96,111767.06
Russia,Yes,3158804.34,2997928.59,2519559.58,2382405.22,2120840.38,2068333.80,2017432.58,1899548.64,1867753.70,1897296.71,1891846.01,1926302.45,1903699.11,1936360.29,1947980.21,1965384.74,2024782.86,2022728.31,2057617.56,1921605.98,2013432.45,2070533.86,2095638.94,2037755.83,2037987.26,2035889.30,2037209.58,2071543.37,2133581.60,2119432.41
Saudi Arabia,Yes,165268.97,..,..,..,..,..,..,..,..,..,296059.87,..,..,..,..,..,..,..,..,..,525332.15,..,548262.55,..,..,..,..,..,..,..
Slovak Republic,No,73386.17,63926.60,58212.79,54796.04,52323.03,52888.94,52723.11,52634.99,51948.77,50561.42,48669.91,50925.39,49526.70,49680.81,50409.47,50357.19,50267.53,48477.95,48898.52,44706.18,45363.93,44555.47,42309.22,41862.56,39862.99,40712.46,41112.12,42226.70,42159.13,39948.33
Slovenia,No,18580.24,17228.31,17219.63,17468.76,17902.58,18690.99,19305.13,19851.92,19425.62,18805.73,18581.77,19851.46,20107.88,19776.00,20175.28,20433.19,20633.36,20817.43,21543.28,19378.09,19613.54,19540.39,18917.61,18220.97,16581.50,16760.95,17616.46,17696.60,17521.74,17065.45
South Africa,Yes,347349.36,..,..,..,379837.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,No,290001.47,297748.42,307391.55,296709.53,313335.54,329350.69,321413.46,335792.94,345414.75,372592.11,388211.54,385643.07,403700.67,411524.81,427387.29,442075.01,435255.58,446328.12,412136.25,372318.72,357876.02,357588.45,350317.74,323525.94,325609.36,336994.88,325465.70,338738.17,333250.41,314528.51
Sweden,No,71239.18,71495.94,71032.92,71336.93,73852.01,73185.39,77151.15,72137.84,72588.00,69504.50,68149.05,68963.19,69684.74,70052.93,69487.57,66662.53,66281.64,65164.48,62788.90,58523.68,64557.43,60230.62,57376.45,55718.95,53833.30,53998.52,53571.52,53010.59,52170.22,50919.87
Switzerland,No,53631.10,55542.61,55304.04,52752.23,51757.12,52684.05,53380.53,52219.92,53783.45,53634.57,52931.42,54477.08,52986.03,54080.41,54688.41,55348.19,55037.80,53123.60,54541.43,53083.92,54721.38,50606.40,51946.23,52831.53,48875.41,48415.62,48709.06,47868.93,46369.71,46108.19
Turkey,No,219572.21,226956.77,233185.06,240521.14,234496.43,247993.71,267614.11,278866.03,280419.45,277840.88,298954.23,280503.24,286227.35,305290.16,314843.15,337344.65,358571.11,391664.26,387853.21,395843.89,399143.06,428120.39,447582.09,439694.38,458953.88,473335.82,498886.78,524980.92,522476.63,506080.42
Ukraine,Yes,942574.07,856175.82,801154.32,711031.75,604727.18,561925.72,515089.60,499401.61,480725.92,449424.96,427602.79,445700.84,430839.88,440133.92,442916.37,442062.65,459698.39,463030.00,450790.66,390310.52,407123.69,428395.17,417435.21,409042.06,362608.94,319141.19,337456.51,323045.06,339797.89,332114.02
United Kingdom,No,794869.45,804232.67,783560.56,764121.94,754886.83,748483.64,770309.29,744640.42,742696.69,712883.46,711972.54,714597.26,694790.61,701372.64,697609.49,690112.27,683132.37,671465.50,650476.11,594416.68,608732.30,563659.98,580418.64,566545.83,526556.30,509050.72,484146.20,473389.98,466666.98,453101.46
United States,No,6442650.63,6373621.14,6486343.84,6604349.89,6691822.83,6775860.25,6981165.38,7036508.04,7083269.27,7125399.03,7313616.49,7202956.51,7244301.89,7301363.18,7415471.11,7423031.03,7344462.85,7449616.03,7224648.98,6772000.07,6991106.34,6827402.42,6585907.77,6764669.11,6824956.71,6671112.07,6520337.84,6483291.33,6671449.40,6558345.18